"make","model","model_year","registered_vehicle"
"TESLA","MODEL Y",2023,"18688"
"TESLA","MODEL Y",2024,"9095"
"TESLA","MODEL 3",2023,"7326"
"TESLA","MODEL Y",2022,"7248"
"TESLA","MODEL Y",2021,"6767"
"TESLA","MODEL 3",2018,"6069"
"TESLA","MODEL 3",2022,"4928"
"TESLA","MODEL 3",2019,"3831"
"TESLA","MODEL 3",2021,"3771"
"TESLA","MODEL 3",2020,"3653"
"TESLA","MODEL 3",2024,"2873"
"VOLKSWAGEN","ID.4",2023,"2555"
"TESLA","MODEL Y",2020,"2240"
"CHEVROLET","BOLT EUV",2023,"2073"
"FORD","MUSTANG MACH-E",2023,"2071"
"HYUNDAI","IONIQ 5",2023,"1856"
"NISSAN","LEAF",2013,"1817"
"NISSAN","LEAF",2015,"1755"
"FORD","F-150",2023,"1726"
"RIVIAN","R1S",2023,"1696"
"CHEVROLET","BOLT EV",2020,"1545"
"JEEP","WRANGLER",2024,"1521"
"JEEP","WRANGLER",2023,"1511"
"CHEVROLET","BOLT EV",2017,"1465"
"TESLA","MODEL X",2023,"1415"
"CHEVROLET","VOLT",2017,"1406"
"NISSAN","LEAF",2019,"1358"
"CHRYSLER","PACIFICA",2023,"1277"
"TOYOTA","RAV4 PRIME",2024,"1232"
"CHEVROLET","BOLT EV",2023,"1194"
"NISSAN","LEAF",2018,"1187"
"NISSAN","LEAF",2022,"1168"
"CHEVROLET","BOLT EV",2019,"1091"
"NISSAN","LEAF",2016,"1090"
"FORD","MUSTANG MACH-E",2022,"1059"
"KIA","EV6",2022,"1022"
"TESLA","MODEL S",2015,"1022"
"RIVIAN","R1S",2024,"982"
"HYUNDAI","IONIQ 5",2024,"980"
"VOLKSWAGEN","ID.4",2021,"979"
"KIA","EV6",2023,"977"
"TESLA","MODEL S",2016,"937"
"TESLA","MODEL S",2017,"915"
"RIVIAN","R1T",2023,"912"
"TOYOTA","PRIUS PRIME",2017,"909"
"TESLA","MODEL S",2018,"905"
"TESLA","MODEL X",2018,"892"
"RIVIAN","R1T",2022,"883"
"FORD","MUSTANG MACH-E",2021,"882"
"NISSAN","LEAF",2017,"874"
"TOYOTA","RAV4 PRIME",2021,"849"
"KIA","NIRO",2023,"838"
"KIA","EV9",2024,"824"
"SUBARU","SOLTERRA",2023,"820"
"CHEVROLET","VOLT",2013,"779"
"TESLA","MODEL X",2022,"766"
"KIA","EV6",2024,"758"
"NISSAN","ARIYA",2023,"747"
"NISSAN","LEAF",2023,"745"
"KIA","NIRO",2022,"739"
"TESLA","CYBERTRUCK",2024,"738"
